,date,open,high,low,close,volume,daily_return,fast_close,slow_close,crossover_long,crossover_short,crossover_signal,fast_vol,slow_vol,vol_trend_long,vol_trend_short,vol_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal
0,2019-12-30,428.81,429.0,409.2589,414.62,12082466,,414.62,414.62,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
1,2019-12-31,405.0003,421.29,402.08,418.17,9761539,0.00856205682311506,416.9866666666667,416.45649219415424,1.0,0.0,1.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2,2020-01-02,424.95,430.6957,421.71,430.24,9113793,0.028863859196020636,424.56,421.3728813569046,1.0,0.0,1.0,0.014355542128190674,0.014355542128190674,0.0,0.0,0.0,,,,,0.0,0.0,0.0
3,2020-01-03,440.5,454.0,436.92,442.75,16409329,0.029076794347340895,434.2613333333333,427.28496335721354,1.0,0.0,1.0,0.00946442005044964,0.011577107319925267,1.0,0.0,1.0,,,,,0.0,0.0,0.0
4,2020-01-06,440.47,451.56,440.0,451.4001,9807049,0.019537210615471423,443.10714838709674,432.7986402056936,1.0,0.0,1.0,0.007452534539087554,0.009422813786951208,1.0,0.0,1.0,,,,,0.0,0.0,0.0
5,2020-01-07,461.4,471.63,453.355,469.17,16859537,0.03936618534200598,456.34542222222217,439.9572279327884,1.0,0.0,1.0,0.011611408841544405,0.011514646646231055,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
6,2020-01-08,473.7,498.49,468.23,492.09,29804104,0.04885222840335057,474.3584377952755,449.03871436230907,1.0,0.0,1.0,0.013537723160342399,0.014260468024926864,1.0,0.0,1.0,,,,,0.0,0.0,0.0
7,2020-01-09,497.1,498.8,472.87,481.49,26901507,-0.02154077506147245,477.9382023529412,454.144226686165,1.0,0.0,1.0,0.039121367274328606,0.024828676881223172,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
8,2020-01-10,481.79,484.94,473.7,477.96,12365563,-0.007331408751999113,477.94912250489233,457.58061000143397,1.0,0.0,1.0,0.02933660631829994,0.025173976938164255,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
9,2020-01-13,493.5,525.63,492.0,524.85,25531104,0.09810444388651773,501.42248445747805,466.5902696201295,1.0,0.0,1.0,0.06311089372995625,0.038157673554787545,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
10,2020-01-14,544.255,547.41,524.9,538.0,27042937,0.025054777555491903,519.7201766487543,475.55417568427475,1.0,0.0,1.0,0.047044337704048055,0.03531970469052689,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
11,2020-01-15,529.76,537.84,516.7853,518.505,16462639,-0.036236059479553884,519.1124399511599,480.6474328447658,1.0,0.0,1.0,0.05598499138887351,0.039774288396459835,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
12,2020-01-16,494.08,514.46,492.17,513.49,20068904,-0.009672037878130313,516.3008767671835,484.35086018217373,1.0,0.0,1.0,0.04006633770776987,0.03852607726716836,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
13,2020-01-17,507.61,515.6699,503.16,510.19,12517514,-0.006426610060565996,513.2452518830495,487.1369672286332,1.0,0.0,1.0,0.028350276811744412,0.03695139265702434,1.0,0.0,1.0,,,,,0.0,0.0,0.0
14,2020-01-21,530.23,548.58,528.41,547.3007,33002168,0.07273897959583686,530.2734956022829,493.3694776062109,1.0,0.0,1.0,0.05193910755375291,0.03965272183361992,0.0,-1.0,-1.0,,,,,0.0,0.0,0.0
15,2020-01-22,571.51,594.5,559.1,569.43,59686356,0.04043353132930383,549.8520465461204,500.9703888975827,1.0,0.0,1.0,0.03696163186696328,0.03799530249106031,1.0,0.0,1.0,,,,,0.0,0.0,0.0
16,2020-01-23,564.08,582.0,555.6027,571.9422,37423500,0.00441178020125399,560.8972075409511,507.83643116811555,1.0,0.0,1.0,0.03289333612815427,0.036401905169433854,1.0,0.0,1.0,,,,,0.0,0.0,0.0
17,2020-01-24,570.63,573.86,554.26,564.96,27306834,-0.01220787694980352,562.9286115196667,513.2029549438329,1.0,0.0,1.0,0.030782305209502158,0.03595753160021943,1.0,0.0,1.0,,,,,0.0,0.0,0.0
