Date,AGG,ARKK,BRK-B,ETH-USD
2015-08-07,94.38236236572266,19.06222152709961,143.5500030517578,2.7721199989318848
2015-08-08,94.38236236572266,19.06222152709961,143.5500030517578,0.7533249855041504
2015-08-09,94.38236236572266,19.06222152709961,143.5500030517578,0.7018970251083374
2015-08-10,94.26136016845703,19.523710250854492,143.4199981689453,0.7084479928016663
2015-08-11,94.57250213623047,19.264982223510742,142.8000030517578,1.0678600072860718
2015-08-12,94.51203918457031,19.083322525024414,141.60000610351562,1.2174400091171265
2015-08-13,94.31322479248047,19.25581169128418,141.9499969482422,1.8276699781417847
2015-08-14,94.27000427246094,19.230119705200195,142.57000732421875,1.8278700113296509
2015-08-15,94.27000427246094,19.230119705200195,142.57000732421875,1.6888999938964844
2015-08-16,94.27000427246094,19.230119705200195,142.57000732421875,1.5660300254821777
2015-08-17,94.43421936035156,19.374160766601562,142.32000732421875,1.2036099433898926
2015-08-18,94.26136016845703,19.24846839904785,141.36000061035156,1.087049961090088
2015-08-19,94.55522155761719,19.037450790405273,140.47000122070312,1.2588599920272827
2015-08-20,94.7021484375,18.24842643737793,138.38999938964844,1.4649200439453125
2015-08-21,94.86640930175781,17.918140411376953,134.22000122070312,1.3952900171279907
2015-08-22,94.86640930175781,17.918140411376953,134.22000122070312,1.37923002243042
2015-08-23,94.86640930175781,17.918140411376953,134.22000122070312,1.3525899648666382
2015-08-24,94.83177185058594,17.395179748535156,129.57000732421875,1.2312699556350708
2015-08-25,94.60708618164062,17.780519485473633,127.73999786376953,1.1401900053024292
2015-08-26,94.16624450683594,17.84015464782715,132.61000061035156,1.159980058670044
2015-08-27,94.29590606689453,18.38971710205078,136.22999572753906,1.1476999521255493
2015-08-28,94.20948791503906,18.569541931152344,135.74000549316406,1.1913800239562988
2015-08-29,94.20948791503906,18.569541931152344,135.74000549316406,1.1825499534606934
2015-08-30,94.20948791503906,18.569541931152344,135.74000549316406,1.3192700147628784
2015-08-31,94.14037322998047,18.441099166870117,134.0399932861328,1.358240008354187
2015-09-01,94.4192123413086,17.771347045898438,130.41000366210938,1.3516099452972412
2015-09-02,94.29796600341797,17.968599319458008,132.22000122070312,1.2947900295257568
2015-09-03,94.43653869628906,18.175029754638672,132.14999389648438,1.264930009841919
2015-09-04,94.6357192993164,17.817218780517578,129.63999938964844,1.2744100093841553
2015-09-05,94.6357192993164,17.817218780517578,129.63999938964844,1.3388099670410156
2015-09-06,94.6357192993164,17.817218780517578,129.63999938964844,1.2958300113677979
2015-09-07,94.6357192993164,17.817218780517578,129.63999938964844,1.246649980545044
2015-09-08,94.41058349609375,18.367700576782227,132.89999389648438,1.2424299716949463
2015-09-09,94.44523620605469,18.431922912597656,130.58999633789062,1.2065099477767944
2015-09-10,94.3412857055664,18.3585262298584,130.66000366210938,1.1657700538635254
2015-09-11,94.45387268066406,18.450271606445312,131.3699951171875,0.9829779863357544
2015-09-12,94.45387268066406,18.450271606445312,131.3699951171875,1.0387400388717651
2015-09-13,94.45387268066406,18.450271606445312,131.3699951171875,0.9360030293464661
2015-09-14,94.47987365722656,18.41357421875,130.89999389648438,0.8756219744682312
2015-09-15,94.05548858642578,18.65211296081543,132.25999450683594,0.9444100260734558
2015-09-16,93.9775390625,18.87230682373047,132.5800018310547,0.9071750044822693
2015-09-17,94.56645202636719,19.037450790405273,131.47000122070312,0.8742309808731079
2015-09-18,94.64442443847656,18.743860244750977,129.10000610351562,0.8536850214004517
2015-09-19,94.64442443847656,18.743860244750977,129.10000610351562,0.8823909759521484
2015-09-20,94.64442443847656,18.743860244750977,129.10000610351562,0.938444972038269
2015-09-21,94.39326477050781,18.624588012695312,130.97999572753906,0.9190469980239868
2015-09-22,94.61843872070312,18.2392520904541,129.3000030517578,0.9017959833145142
2015-09-23,94.54047393798828,18.20255470275879,129.16000366210938,0.8934059739112854
2015-09-24,94.6617431640625,17.991539001464844,128.8300018310547,0.8136100172996521
2015-09-25,94.4971694946289,17.79886817932129,129.63999938964844,0.7362229824066162
2015-09-26,94.4971694946289,17.79886817932129,129.63999938964844,0.7859640121459961
2015-09-27,94.4971694946289,17.79886817932129,129.63999938964844,0.7208390235900879
2015-09-28,94.72235107421875,17.431882858276367,128.6199951171875,0.5828859806060791
2015-09-29,94.86957550048828,17.14746856689453,128.80999755859375,0.6611459851264954
2015-09-30,94.90420532226562,17.239213943481445,130.39999389648438,0.738644003868103
2015-10-01,94.97798156738281,17.000675201416016,129.8800048828125,0.690214991569519
2015-10-02,95.26432037353516,17.505279541015625,129.8300018310547,0.6785740256309509
2015-10-03,95.26432037353516,17.505279541015625,129.8300018310547,0.6871709823608398
2015-10-04,95.26432037353516,17.505279541015625,129.8300018310547,0.668379008769989
2015-10-05,94.90856170654297,17.908966064453125,132.3800048828125,0.6286429762840271
2015-10-06,95.14285278320312,17.642900466918945,131.19000244140625,0.6506450176239014
2015-10-07,95.07344818115234,17.89979362487793,132.67999267578125,0.609387993812561
2015-10-08,94.94327545166016,17.78969383239746,133.75,0.6217160224914551
2015-10-09,94.86519622802734,18.18879508972168,133.02999877929688,0.6506279706954956
2015-10-10,94.86519622802734,18.18879508972168,133.02999877929688,0.6278570294380188
2015-10-11,94.86519622802734,18.18879508972168,133.02999877929688,0.6349629759788513
2015-10-12,95.10811614990234,18.046585083007812,133.39999389648438,0.6260300278663635
2015-10-13,95.11681365966797,17.982364654541016,132.19000244140625,0.6076549887657166
2015-10-14,95.47260284423828,17.890615463256836,131.17999267578125,0.5229679942131042
